Gender,Married,Dependents,Education,Self_Employed,Loan_Amount,Credit_History,Loan_Status,TotalIncome,Debt_to_Income_Ratio,Family_Size,Balance_Income,Property_Area_Semiurban,Property_Area_Urban,Income_Band_Medium,Income_Band_High,Income_Band_Very High,Credit_Risk_Category_Low Risk,Credit_Risk_Category_Medium Risk
1,0,-0.7378063230712658,0,0,-0.16804075784261274,1,1,-0.12031623865000003,-0.2435755713691154,-1.1169489194490545,-0.09113683008608953,False,True,True,False,False,True,False
1,1,0.2534695683198878,0,0,-0.16804075784261274,1,0,-0.036096894491664394,-0.34862105493262335,0.4816679489465618,-0.004304661424230919,False,False,False,True,False,True,False
1,1,-0.7378063230712658,0,1,-1.2804615159597479,1,1,-1.1118076085140425,-0.22957098319177616,-0.3176404852512464,-1.0515931088890462,False,True,False,False,False,True,False
1,1,-0.7378063230712658,1,0,-0.3115789201803076,1,1,-0.43631278615317676,0.046683278435869974,-0.3176404852512464,-0.4089632986684304,False,True,True,False,False,False,True
1,0,-0.7378063230712658,0,0,0.06520875595614142,1,1,-0.06776615200574929,-0.048347894144750235,-1.1169489194490545,-0.0499134772870255,False,True,True,False,False,True,False
1,1,1.2447454597110414,0,1,2.22725232616767,1,1,1.1896077754490717,0.39900085186477613,1.28097638314437,1.1263673860205103,False,True,False,True,False,False,True
1,1,-0.7378063230712658,1,0,-0.7601356774856041,1,1,-0.8163438763221954,0.09442394625195807,-0.3176404852512464,-0.775867085718516,False,True,True,False,False,False,True
1,1,2.236021351102195,0,0,0.37022735092374304,0,0,-0.22785250867035423,0.558127930933203,2.080284817342178,-0.2319101944318303,True,False,True,False,False,False,False
1,1,1.2447454597110414,0,0,0.5496500538458616,1,1,-0.230636619221043,0.781504472402477,1.28097638314437,-0.24474764085474993,False,True,True,False,False,False,True
1,1,0.2534695683198878,0,0,2.22725232616767,1,0,2.2135949356469347,-0.3711988639661529,0.4816679489465618,2.1821227672867773,True,False,False,False,True,True,False
1,1,1.2447454597110414,0,0,-1.2086924347909005,1,1,-0.7985951715615545,-0.7190282151478461,1.28097638314437,-0.732650340617756,False,True,True,False,False,True,False
1,1,1.2447454597110414,0,0,-0.5089438933946381,1,1,-0.6454690912736715,0.14679401894582608,1.28097638314437,-0.6136448202065308,False,True,True,False,False,False,True
1,1,1.2447454597110414,0,0,1.123802703196641,1,1,1.7345974157464008,-0.7260391386405212,1.28097638314437,1.7495616212995944,False,True,False,False,True,True,False
1,0,-0.7378063230712658,0,0,-0.4192325419335788,1,0,-0.522620213224529,0.047277244610158614,-1.1169489194490545,-0.4919681541110336,False,False,True,False,False,False,True
1,1,1.2447454597110414,0,0,-2.159632760278129,1,1,-1.3258361070982425,-2.026351687174448,1.28097638314437,-1.2573111944240285,False,True,False,False,False,True,False
1,0,-0.7378063230712658,0,0,-0.22186756871924831,1,1,-0.4331806617836519,0.16338413245228006,-1.1169489194490545,-0.4107174838939224,False,True,True,False,False,False,True
1,0,0.2534695683198878,1,0,-0.6704243260245448,1,1,-0.9043913724877282,0.47220652589503836,-0.3176404852512464,-0.9214644594343598,False,True,True,False,False,False,True
0,0,-0.7378063230712658,0,0,-1.1010388130376294,0,0,-0.9343205609076326,-0.2715637977477819,-1.1169489194490545,-0.8785666571018714,False,True,True,False,False,False,False
1,1,-0.7378063230712658,1,0,-0.07832940638155345,1,0,-0.455105532370326,0.400488582656734,-0.3176404852512464,-0.44129612180193256,False,False,True,False,False,False,True
1,1,-0.7378063230712658,0,0,-0.4012902716413669,1,1,-0.03296477012213951,-0.609842383159306,-0.3176404852512464,0.011881684065536972,False,True,False,True,False,True,False
1,1,-0.7378063230712658,1,0,-0.5986552448556973,0,0,0.509936787262173,-1.2471961968831697,-0.3176404852512464,0.5825899000409775,False,True,False,True,False,False,False
1,1,0.2534695683198878,0,0,2.22725232616767,1,1,1.874150957099676,-0.15925183407393195,0.4816679489465618,1.8321478643588416,False,True,False,False,True,True,False
1,1,-0.7378063230712658,1,0,-0.38334800134915503,0,0,-0.5859587282526988,0.21924842510646655,-0.3176404852512464,-0.5592650782162758,True,False,True,False,False,False,False
1,1,1.2447454597110414,1,0,-0.4551170825180025,0,0,-0.31764007393006743,-0.3257292397049272,1.28097638314437,-0.27863530998357433,False,False,True,False,False,False,False
1,1,0.2534695683198878,0,0,0.24463145887826002,1,0,0.15565871968702544,-0.14087844257215376,0.4816679489465618,0.17047597558843622,True,False,False,True,False,True,False
1,1,-0.7378063230712658,0,1,0.9623222705667344,1,1,1.1711630430507585,-0.47372928726350144,-0.3176404852512464,1.177617502097103,True,False,False,True,False,True,False
1,1,-0.7378063230712658,0,0,-0.2756943795958839,1,1,-0.3976832522623699,0.030043407768175774,-0.3176404852512464,-0.3711287127822487,True,False,True,False,False,False,True
1,1,1.2447454597110414,1,0,-0.4910016231024262,1,1,-0.323208295031445,-0.36383070177681187,1.28097638314437,-0.2823828875107623,False,True,True,False,False,True,False
1,0,-0.7378063230712658,1,0,-1.8366718950183156,1,0,-1.6540131382606826,0.044902821578476894,-1.1169489194490545,-1.579722465300269,False,True,False,False,False,False,True
0,0,1.2447454597110414,0,0,-0.3115789201803076,1,1,-0.1258844597513776,-0.40202237348899766,0.4816679489465618,-0.08890423070819067,True,False,True,False,False,True,False
1,1,0.2534695683198878,0,0,1.141744973488853,1,0,0.4664350599076607,0.3353031090114289,0.4816679489465618,0.44105904662059164,False,True,False,True,False,False,True
1,0,-0.7378063230712658,0,0,-1.136923353622053,1,0,-1.053689300768414,-0.06454181084835225,-1.1169489194490545,-0.9996453055068598,False,True,True,False,False,True,False
1,0,0.2534695683198878,0,1,-0.5627707042712736,1,0,-0.5229682270433651,-0.15809111743523402,-0.3176404852512464,-0.4843533955185568,False,False,True,False,False,True,False
1,1,-0.7378063230712658,0,0,-0.4192325419335788,1,1,-0.35766166309621866,-0.22194841341829943,-0.3176404852512464,-0.3218919229303681,True,False,True,False,False,True,False
1,0,2.236021351102195,0,0,2.22725232616767,1,0,2.2135949356469347,-0.3711988639661529,1.28097638314437,2.1821227672867773,False,False,False,False,True,True,False
