Gender,Married,Dependents,Education,Self_Employed,Loan_Amount,Loan_Amount_Term,Credit_History,Loan_Status,TotalIncome,Area_Semiurban,Area_Urban
1,0,0,0,0,-0.16804075784261274,0.2732312961117544,1,1,-0.12031623865000003,False,True
1,1,1,0,0,-0.16804075784261274,0.2732312961117544,1,0,-0.036096894491664394,False,False
1,1,0,0,1,-1.2804615159597479,0.2732312961117544,1,1,-1.1118076085140425,False,True
1,1,0,1,0,-0.3115789201803076,0.2732312961117544,1,1,-0.43631278615317676,False,True
1,0,0,0,0,0.06520875595614142,0.2732312961117544,1,1,-0.06776615200574929,False,True
1,1,2,0,1,2.22725232616767,0.2732312961117544,1,1,1.1896077754490717,False,True
1,1,0,1,0,-0.7601356774856041,0.2732312961117544,1,1,-0.8163438763221954,False,True
1,1,3,0,0,0.37022735092374304,0.2732312961117544,0,0,-0.22785250867035423,True,False
1,1,2,0,0,0.5496500538458616,0.2732312961117544,1,1,-0.230636619221043,False,True
1,1,1,0,0,2.22725232616767,0.2732312961117544,1,0,2.2135949356469347,True,False
1,1,2,0,0,-1.2086924347909005,0.2732312961117544,1,1,-0.7985951715615545,False,True
1,1,2,0,0,-0.5089438933946381,0.2732312961117544,1,1,-0.6454690912736715,False,True
1,1,2,0,0,1.123802703196641,0.2732312961117544,1,1,1.7345974157464008,False,True
1,0,0,0,0,-0.4192325419335788,0.2732312961117544,1,0,-0.522620213224529,False,False
1,1,2,0,0,-2.159632760278129,-3.4548579441686273,1,1,-1.3258361070982425,False,True
1,0,0,0,0,-0.22186756871924831,0.2732312961117544,1,1,-0.4331806617836519,False,True
1,0,1,1,0,-0.6704243260245448,-1.5908133240284363,1,1,-0.9043913724877282,False,True
0,0,0,0,0,-1.1010388130376294,0.2732312961117544,0,0,-0.9343205609076326,False,True
1,1,0,1,0,-0.07832940638155345,0.2732312961117544,1,0,-0.455105532370326,False,False
1,1,0,0,0,-0.4012902716413669,0.2732312961117544,1,1,-0.03296477012213951,False,True
1,1,0,1,0,-0.5986552448556973,0.2732312961117544,0,0,0.509936787262173,False,True
1,1,1,0,0,2.22725232616767,0.2732312961117544,1,1,1.874150957099676,False,True
1,1,0,1,0,-0.38334800134915503,0.2732312961117544,0,0,-0.5859587282526988,True,False
1,1,2,1,0,-0.4551170825180025,0.2732312961117544,0,0,-0.31764007393006743,False,False
1,1,1,0,0,0.24463145887826002,0.2732312961117544,1,0,0.15565871968702544,True,False
1,1,0,0,1,0.9623222705667344,0.2732312961117544,1,1,1.1711630430507585,True,False
1,1,0,0,0,-0.2756943795958839,0.2732312961117544,1,1,-0.3976832522623699,True,False
1,1,2,1,0,-0.4910016231024262,0.2732312961117544,1,1,-0.323208295031445,False,True
1,0,0,1,0,-1.8366718950183156,0.2732312961117544,1,0,-1.6540131382606826,False,True
0,0,2,0,0,-0.3115789201803076,0.2732312961117544,1,1,-0.1258844597513776,True,False
1,1,1,0,0,1.141744973488853,0.2732312961117544,1,0,0.4664350599076607,False,True
1,0,0,0,0,-1.136923353622053,0.2732312961117544,1,0,-1.053689300768414,False,True
1,0,1,0,1,-0.5627707042712736,0.2732312961117544,1,0,-0.5229682270433651,False,False
1,1,0,0,0,-0.4192325419335788,0.2732312961117544,1,1,-0.35766166309621866,True,False
1,0,3,0,0,2.22725232616767,0.2732312961117544,1,0,2.2135949356469347,False,False
1,1,0,0,0,-0.16804075784261274,0.2732312961117544,1,1,-0.6447730636359993,False,True
1,1,0,0,0,-0.6704243260245448,0.2732312961117544,0,0,-1.0568214251379389,False,True
0,1,0,0,0,0.119035566832777,0.2732312961117544,1,1,-0.37193022966849865,True,False
1,0,0,0,0,0.8367263785212513,0.2732312961117544,1,1,1.803156138057112,False,True
1,0,0,1,0,-0.4910016231024262,0.2732312961117544,1,1,-0.2710062222060303,True,False
1,0,0,0,0,-1.029269731868782,0.2732312961117544,1,0,-0.9029993172123838,False,True
1,0,0,0,0,-1.6213646515117732,0.2732312961117544,1,1,-1.107283428869173,False,True
1,1,0,0,0,-1.1189810833298413,0.2732312961117544,1,1,-1.320615899815701,False,True
1,1,0,0,0,-0.06038713608934159,0.2732312961117544,1,1,0.02863367581184978,True,False
1,1,0,1,1,-0.7421934071933922,0.2732312961117544,1,1,-0.5219241855868568,False,True
0,0,0,0,0,-0.8857315695310871,0.2732312961117544,1,1,-0.9691219427912423,False,True
1,1,1,0,0,-1.6751914623884088,0.2732312961117544,1,1,-0.18991900241721957,False,True
1,1,0,0,0,0.119035566832777,0.2732312961117544,1,1,-0.13006062557741077,False,True
0,1,0,0,0,-0.3115789201803076,0.2732312961117544,0,0,-0.03818497740468098,False,True
0,0,0,0,0,0.119035566832777,0.2732312961117544,1,1,0.027937648174177585,True,False
0,1,0,1,0,-0.6704243260245448,0.2732312961117544,1,1,-0.9127437041397944,True,False
